date_time,active_power_consumed,meter_reading
01-01-2009,0.976869444,1.946527778
02-01-2009,1.616326389,8.222916667
03-01-2009,1.328816667,7.249305556
04-01-2009,1.347218056,2.253472222
05-01-2009,1.113888889,6.006944444
06-01-2009,1.173515278,8.654166667
07-01-2009,1.444633333,6.929861111
08-01-2009,1.134215278,6.996527778
09-01-2009,1.242154167,6.447916667
10-01-2009,1.460380556,8.707638889
11-01-2009,1.372213889,4.088194444
12-01-2009,1.103665278,8.435416667
13-01-2009,1.515694444,11.24583333
14-01-2009,1.234386379,7.158443363
15-01-2009,1.086158333,6.639583333
16-01-2009,1.921218056,10.56944444
17-01-2009,2.304041667,10.64027778
18-01-2009,2.1904125,8.838194444
19-01-2009,1.1804625,7.138194444
20-01-2009,1.206963889,9.532638889
21-01-2009,1.207940278,6.826388889
22-01-2009,0.859275,5.726388889
23-01-2009,1.326761111,8.434722222
24-01-2009,1.5283125,5.779166667
25-01-2009,1.974766667,7.786805556
26-01-2009,1.162827778,6.820138889
27-01-2009,0.989604167,4.588888889
28-01-2009,1.890093056,9.920138889
29-01-2009,1.092845833,6.247222222
30-01-2009,1.4298875,8.435416667
31-01-2009,2.300591667,10.63125
01-02-2009,1.289201141,5.345221113
02-02-2009,1.113402778,7.579861111
03-02-2009,1.297493056,10.40555556
04-02-2009,1.708975,11.08333333
05-02-2009,1.1452,9.01875
06-02-2009,1.422497222,8.136111111
07-02-2009,2.174677778,12.41180556
08-02-2009,1.515879167,10.5375
09-02-2009,1.185165278,6.510416667
10-02-2009,1.349876389,8.56875
11-02-2009,1.832909722,8.46875
12-02-2009,1.367125,12.30833333
13-02-2009,1.173626389,8.023611111
14-02-2009,1.622109875,12.8713491
15-02-2009,1.101411111,3.634722222
16-02-2009,0.915968056,4.886805556
17-02-2009,0.55204661,2.771892655
18-02-2009,0.573923611,3.799305556
19-02-2009,0.511991667,1.247222222
20-02-2009,1.306066667,6.088888889
21-02-2009,0.914016667,2.765972222
22-02-2009,1.554498611,4.953472222
23-02-2009,1.898372222,8.660416667
24-02-2009,1.238294444,10.07777778
25-02-2009,0.812391667,5.110416667
26-02-2009,0.803369444,4.750694444
27-02-2009,1.408970833,10.29930556
28-02-2009,1.132465278,5.559722222
01-03-2009,1.714820014,6.138985407
02-03-2009,1.026001389,4.641666667
03-03-2009,1.283994444,9.044444444
04-03-2009,1.279256944,5.828472222
05-03-2009,1.001258333,6.315277778
06-03-2009,1.238523611,8.372222222
07-03-2009,1.178101389,8.411805556
08-03-2009,1.636920833,8.813194444
09-03-2009,1.170525,7.177777778
10-03-2009,1.275145833,8.0625
11-03-2009,1.670766667,7.45625
12-03-2009,1.310597222,9.482638889
13-03-2009,1.003833333,7.268055556
14-03-2009,1.492380556,12.525
15-03-2009,1.348654167,5.800694444
16-03-2009,0.927541348,6.444058374
17-03-2009,1.341604167,8.555555556
18-03-2009,1.007416667,8.403472222
19-03-2009,0.827452778,6.568055556
20-03-2009,1.016601389,7.373611111
21-03-2009,1.340293056,7.129166667
22-03-2009,1.173034722,6.260416667
23-03-2009,0.9003125,4.165972222
24-03-2009,1.153966667,7.047916667
25-03-2009,1.276926389,7.14375
26-03-2009,0.840975,5.969444444
27-03-2009,1.190226389,6.907638889
28-03-2009,1.570122222,8.489583333
29-03-2009,1.539340278,6.598611111
30-03-2009,1.026008333,6.875694444
31-03-2009,1.266306944,8.998611111
01-04-2009,1.139680556,5.075694444
02-04-2009,1.141898611,9.375
03-04-2009,0.946708333,5.941666667
04-04-2009,1.521688889,11.28541667
05-04-2009,0.955358333,4.515972222
06-04-2009,1.008773611,7.042361111
07-04-2009,1.000063889,6.334027778
08-04-2009,1.065694444,5.533333333
09-04-2009,1.312827778,9.3625
10-04-2009,1.279245833,9.602777778
11-04-2009,1.710031944,12.66180556
12-04-2009,1.486813889,8.659722222
13-04-2009,1.111699583,4.317802503
14-04-2009,1.042734722,6.581944444
15-04-2009,0.8444875,3.665277778
16-04-2009,1.086475,6.811805556
17-04-2009,1.418618056,5.315972222
18-04-2009,1.050184722,7.429861111
19-04-2009,0.893380556,5.616666667
20-04-2009,1.032298611,7.275
21-04-2009,1.315693056,5.125
22-04-2009,1.039026389,9.211805556
23-04-2009,0.792680556,3.827083333
24-04-2009,0.8292,6.720138889
25-04-2009,1.404363889,9.184027778
26-04-2009,1.237240278,7.334027778
27-04-2009,0.938630556,4.875694444
28-04-2009,1.184990278,7.964583333
29-04-2009,1.156027778,6.508333333
30-04-2009,1.274140278,10.62847222
01-05-2009,1.050556944,8.13125
02-05-2009,0.967993056,6.777777778
03-05-2009,1.117276389,5.018055556
04-05-2009,1.158251389,7.898611111
05-05-2009,1.2024125,7.059722222
06-05-2009,0.937431944,6.290277778
07-05-2009,0.703227778,5.55
08-05-2009,1.289691667,10.7125
09-05-2009,0.875938889,4.586805556
10-05-2009,1.366610146,6.040305768
11-05-2009,1.053594444,7.645138889
12-05-2009,1.129136111,7.871527778
13-05-2009,0.865554167,4.949305556
14-05-2009,1.115961111,7.985416667
15-05-2009,0.987656944,8.46875
16-05-2009,1.3940125,8.517361111
17-05-2009,1.072058333,4.977777778
18-05-2009,0.8402125,6.229861111
19-05-2009,1.123155556,7.625694444
20-05-2009,0.907751389,6.576388889
21-05-2009,1.093854167,8.724305556
22-05-2009,0.746393056,5.609722222
23-05-2009,1.062915278,8.735416667
24-05-2009,0.894295833,7.122222222
25-05-2009,0.940344444,6.895833333
26-05-2009,0.93087961,7.028531663
27-05-2009,1.072425,7.691666667
28-05-2009,0.819261111,6.284027778
29-05-2009,0.8630875,7.022222222
30-05-2009,1.152156944,8.025694444
31-05-2009,0.664506944,3.972222222
01-06-2009,1.002263889,7.889583333
02-06-2009,0.7573875,5.480555556
03-06-2009,0.942068056,8.039583333
04-06-2009,0.719208333,4.795138889
05-06-2009,0.854416667,8.690972222
06-06-2009,1.024618056,7.36875
07-06-2009,0.838466667,4.190277778
08-06-2009,0.818594444,5.938194444
09-06-2009,0.925590278,7.427083333
10-06-2009,1.113191667,6.867361111
11-06-2009,0.903229167,7.368055556
12-06-2009,0.765091667,4.95625
13-06-2009,0.473933333,2.633333333
14-06-2009,0.628798139,4.190778342
15-06-2009,0.783662944,5.74822335
16-06-2009,1.047772222,9.507638889
17-06-2009,0.686122222,4.995138889
18-06-2009,0.809513889,7.79375
19-06-2009,0.754768056,5.372916667
20-06-2009,0.768819444,6.360416667
21-06-2009,0.593848611,4.168055556
22-06-2009,0.759790278,7.741666667
23-06-2009,0.721676389,5.684722222
24-06-2009,1.065884722,9.913194444
25-06-2009,0.535668056,4.322222222
26-06-2009,0.887029167,6.911111111
27-06-2009,1.186841667,9.352777778
28-06-2009,0.735690278,4.681944444
29-06-2009,0.701481944,4.4875
30-06-2009,0.8280875,6.242361111
01-07-2009,0.846070833,6.76875
02-07-2009,0.862901389,5.577777778
03-07-2009,0.600102778,5.11875
04-07-2009,0.860116667,4.715972222
05-07-2009,0.979677778,5.565277778
06-07-2009,0.662680556,4.959722222
07-07-2009,0.770927778,3.961111111
08-07-2009,0.857222222,6.463888889
09-07-2009,0.587675,3.321527778
10-07-2009,0.826683844,5.217270195
11-07-2009,0.690255556,5.386111111
12-07-2009,0.356581944,2.819444444
13-07-2009,0.3449625,2.695138889
14-07-2009,0.6329375,4.274305556
15-07-2009,0.4986625,4.041666667
16-07-2009,0.416356944,2.709722222
17-07-2009,0.5082,4.631944444
18-07-2009,0.671118056,3.742361111
19-07-2009,0.835863889,3.5125
20-07-2009,0.460059722,3.436111111
21-07-2009,0.5651125,5.413194444
22-07-2009,0.513563889,2.753472222
23-07-2009,0.715277778,6.294444444
24-07-2009,0.390095833,2.866666667
25-07-2009,0.3727,2.580555556
26-07-2009,0.377094444,2.638194444
27-07-2009,0.478170833,3.6125
28-07-2009,0.626979167,3.022916667
29-07-2009,0.626388889,5.242361111
30-07-2009,0.550226389,2.805555556
31-07-2009,0.677659722,4.376388889
01-08-2009,0.490948611,4.338888889
02-08-2009,0.340086111,2.457638889
03-08-2009,0.347429167,2.646527778
04-08-2009,0.353397222,2.688194444
05-08-2009,0.360175,2.806944444
06-08-2009,0.369911111,2.911805556
07-08-2009,0.374511111,2.938888889
08-08-2009,0.365605556,2.842361111
09-08-2009,0.693218056,3.579166667
10-08-2009,0.742609722,4.175
11-08-2009,0.660384722,4.567361111
12-08-2009,0.572525,3.465972222
13-08-2009,1.105358834,3.112932605
14-08-2009,0.519913889,3.227083333
15-08-2009,1.051431944,6.195833333
16-08-2009,0.845633333,3.952083333
17-08-2009,0.545769444,4.347916667
18-08-2009,0.750415278,4.391666667
19-08-2009,0.611626389,4.197222222
20-08-2009,0.538695833,4.2625
21-08-2009,0.806768056,5.227083333
22-08-2009,1.0755125,5.936805556
23-08-2009,0.740769444,4.856944444
24-08-2009,0.869620833,5.727083333
25-08-2009,0.655284722,4.36875
26-08-2009,0.789268056,5.458333333
27-08-2009,0.5204625,2.974305556
28-08-2009,0.776973611,5.197916667
29-08-2009,0.964176389,8.129861111
30-08-2009,1.158570833,7.394444444
31-08-2009,0.878834722,6.926388889
01-09-2009,0.680927778,4.217361111
02-09-2009,0.849176389,6.889583333
03-09-2009,0.868880556,3.479861111
04-09-2009,0.711380556,5.621527778
05-09-2009,1.051295833,7.245138889
06-09-2009,0.853215278,6.271527778
07-09-2009,0.848234722,5.763194444
08-09-2009,0.754343056,5.925694444
09-09-2009,1.056488889,7.410416667
10-09-2009,0.772468056,4.519444444
11-09-2009,0.843156944,8.120138889
12-09-2009,1.433581944,8.750694444
13-09-2009,1.091245309,7.067407922
14-09-2009,1.093651389,6.313194444
15-09-2009,1.011670833,6.002777778
16-09-2009,1.210529167,9.294444444
17-09-2009,0.849601389,6.743055556
18-09-2009,0.954188889,6.354861111
19-09-2009,1.483131944,10.30902778
20-09-2009,1.413422222,8.288194444
21-09-2009,0.984630556,7.530555556
22-09-2009,0.86565,5.904166667
23-09-2009,1.136534722,8.947222222
24-09-2009,0.990456944,7.204166667
25-09-2009,0.806261111,6.731944444
26-09-2009,1.080731944,10.12569444
27-09-2009,0.979494444,5.940277778
